/home/parallels/PAPTeam_ubuntu/OpticalFlow/Code/Experiment/pyflow/output/HoChiMinhTraffic_10FPS_800/timing/HoChiMinhTraffic_10FPS_800_P6.txt
Image Warp,Pyramid Construction,Total Run,[P0],[P1],[P2],[P3],[P4],[P5]
0.082548,0.156525,5.757882,2.193083,1.445717,0.855928,0.489381,0.334862,0.199611
0.066725,0.170004,5.875164,2.174642,1.323985,0.930301,0.631300,0.367892,0.210104
0.066612,0.171719,6.091834,2.266387,1.473394,0.963322,0.577407,0.353676,0.219098
0.067386,0.158506,5.751047,2.219155,1.348112,0.931828,0.492071,0.328619,0.205175
0.060999,0.163104,6.067983,2.260575,1.421761,1.041320,0.614419,0.311346,0.194249
0.111514,0.138836,5.711792,2.147021,1.434477,0.845524,0.504452,0.328359,0.201398
0.069912,0.174550,6.167601,2.196052,1.469520,0.927415,0.701188,0.383729,0.244990
0.063623,0.154600,5.452323,2.101062,1.317216,0.823982,0.494025,0.305486,0.192133
0.064239,0.152998,5.405232,2.067793,1.301156,0.812120,0.496624,0.313198,0.196901
0.070780,0.153234,5.779890,2.231901,1.453041,0.885963,0.495689,0.301610,0.187488
0.071040,0.161478,5.858466,2.277169,1.410005,0.876258,0.527619,0.329670,0.205021
0.070971,0.166929,6.174242,2.331232,1.546151,0.957501,0.548776,0.347910,0.204525
0.066914,0.167837,5.976881,2.279105,1.456038,0.925370,0.549095,0.317041,0.215293
0.069039,0.171316,6.040875,2.299180,1.482424,0.914751,0.561057,0.331753,0.211161
0.068161,0.159752,6.046156,2.253436,1.476987,0.963360,0.587558,0.335213,0.201483
0.066775,0.162555,5.668799,2.200272,1.345227,0.830565,0.533640,0.337241,0.192334
0.068514,0.156628,5.793202,2.160193,1.485605,0.901255,0.517410,0.311139,0.192195
0.073565,0.153413,5.581315,2.170814,1.348937,0.827073,0.493138,0.308954,0.205223
0.070707,0.161667,6.038556,2.273917,1.467180,0.930374,0.539606,0.378492,0.216380
0.074498,0.165061,6.174212,2.306718,1.502002,0.962001,0.587566,0.359761,0.216370
0.069150,0.166419,5.911958,2.225368,1.419061,0.923239,0.510824,0.359963,0.237721
0.069866,0.164077,6.273702,2.279438,1.413422,1.106834,0.627854,0.353354,0.258641
0.067588,0.160278,5.824731,2.193532,1.433728,0.928203,0.520729,0.319988,0.200487
0.069029,0.164080,5.866382,2.279095,1.467303,0.851338,0.518902,0.323134,0.193308
0.062584,0.166897,5.697200,2.215073,1.358613,0.830983,0.505559,0.333591,0.223701
0.068437,0.158793,5.780011,2.187274,1.416697,0.867105,0.551600,0.338054,0.191836
0.067702,0.160968,6.059571,2.283573,1.501797,0.949234,0.530168,0.342918,0.223018
0.069307,0.165641,5.685483,2.227280,1.304015,0.869684,0.509495,0.332253,0.207624
0.070732,0.164596,5.838152,2.272880,1.363958,0.882651,0.531531,0.339398,0.212168
0.070830,0.169040,5.798237,2.144524,1.456734,0.942488,0.517765,0.305065,0.191612
0.070157,0.179188,5.873951,2.246898,1.417583,0.882487,0.534018,0.321856,0.221546
0.065860,0.156661,5.620716,2.116502,1.431404,0.846595,0.494603,0.316136,0.192760
0.069403,0.155735,5.775344,2.233555,1.485086,0.829489,0.491832,0.314340,0.195696
0.071877,0.159456,5.549679,2.098722,1.323093,0.829310,0.497205,0.345226,0.224594
